,gene,chromosome,start,stop,W/C,start_promoter,promoter_median,start_tss,max_frecuency(YPD),freq_total(sum),count_samples(freq),GC_start-100,GC_tss-100,GC_start-200,GC_tss-200,GC_start-300,GC_tss-300,GC_start-400,GC_tss-400,GC_start-500,GC_tss-500,GC_start-600,GC_tss-600
YLL060C,GTT2,12,21839.0,21138.0,-1,22439.0,22139.0,22121.0,5.0,67.0,112.0,34.0,44.0,77.0,85.0,116.0,122.0,160.0,160.0,198.0,194.0,240.0,241.0
YLL061W,MMP1,12,17956.0,19707.0,1,17356.0,17656.0,17940.0,51.0,303.0,235.0,38.0,42.0,79.0,78.0,111.0,111.0,147.0,150.0,193.0,195.0,231.0,230.0
YLL062C,MHT1,12,17613.0,16639.0,-1,18213.0,17913.0,17679.0,2.0,25.0,101.0,29.0,34.0,69.0,75.0,105.0,111.0,145.0,148.0,185.0,192.0,228.0,240.0
YLL063C,AYT1,12,16072.0,14648.0,-1,16672.0,16372.0,16217.0,1.0,5.0,14.0,31.0,34.0,65.0,71.0,105.0,113.0,145.0,145.0,180.0,181.0,210.0,227.0
YLR002C,NOC3,12,156334.0,154343.0,-1,156934.0,156634.0,156384.0,126.0,1195.0,400.0,31.0,35.0,69.0,69.0,99.0,103.0,136.0,134.0,163.0,163.0,199.0,197.0
YLR003C,CMS1,12,157730.0,156855.0,-1,158330.0,158030.0,157748.0,16.0,99.0,81.0,38.0,34.0,61.0,58.0,94.0,95.0,136.0,137.0,173.0,173.0,209.0,208.0
YLR004C,THI73,12,159505.0,157934.0,-1,160105.0,159805.0,159560.0,3.0,8.0,16.0,32.0,41.0,82.0,79.0,117.0,118.0,157.0,158.0,194.0,204.0,240.0,245.0
YLR005W,SSL1,12,160049.0,161434.0,1,159449.0,159749.0,160012.0,48.0,236.0,120.0,44.0,37.0,85.0,81.0,121.0,115.0,163.0,162.0,200.0,197.0,243.0,240.0
YLR006C,SSK1,12,163893.0,161755.0,-1,164493.0,164193.0,164063.0,1.0,4.0,13.0,35.0,31.0,69.0,66.0,104.0,99.0,132.0,146.0,170.0,190.0,216.0,230.0
YLR007W,NSE1,12,164392.0,165402.0,1,163792.0,164092.0,164385.0,17.0,88.0,51.0,39.0,36.0,67.0,68.0,101.0,100.0,135.0,134.0,170.0,169.0,211.0,209.0
YLR008C,PAM18,12,166083.0,165577.0,-1,166683.0,166383.0,166181.0,79.0,639.0,371.0,42.0,48.0,92.0,81.0,124.0,122.0,164.0,151.0,195.0,196.0,238.0,237.0
YLR009W,RLP24,12,166537.0,167136.0,1,165937.0,166237.0,166397.0,347.0,1656.0,323.0,35.0,35.0,72.0,78.0,108.0,123.0,152.0,166.0,194.0,210.0,243.0,248.0
YLR010C,TEN1,12,167802.0,167320.0,-1,168402.0,168102.0,167813.0,3.0,24.0,63.0,33.0,34.0,73.0,74.0,109.0,109.0,142.0,144.0,181.0,181.0,208.0,207.0
YLR011W,LOT6,12,169103.0,169678.0,1,168503.0,168803.0,169018.0,15.0,151.0,139.0,37.0,32.0,70.0,73.0,109.0,104.0,139.0,137.0,176.0,170.0,207.0,204.0
YLR015W,BRE2,12,175227.0,176744.0,1,174627.0,174927.0,175174.0,64.0,645.0,284.0,33.0,30.0,65.0,62.0,90.0,90.0,124.0,131.0,169.0,173.0,206.0,208.0
YLR016C,PML1,12,177416.0,176802.0,-1,178016.0,177716.0,177458.0,9.0,112.0,120.0,41.0,31.0,68.0,61.0,101.0,100.0,150.0,151.0,195.0,194.0,236.0,233.0
YLR017W,MEU1,12,177608.0,178621.0,1,177008.0,177308.0,177600.0,20.0,103.0,39.0,25.0,26.0,66.0,70.0,108.0,110.0,151.0,156.0,195.0,195.0,243.0,245.0
YLR018C,POM34,12,179606.0,178707.0,-1,180206.0,179906.0,179662.0,53.0,454.0,232.0,27.0,17.0,48.0,42.0,74.0,73.0,109.0,111.0,149.0,149.0,185.0,186.0
YLR019W,PSR2,12,180288.0,181481.0,1,179688.0,179988.0,179990.0,9.0,99.0,114.0,35.0,35.0,76.0,61.0,112.0,82.0,147.0,112.0,173.0,160.0,193.0,207.0
YLR020C,YEH2,12,183405.0,181789.0,-1,184005.0,183705.0,183444.0,55.0,286.0,111.0,37.0,30.0,68.0,58.0,100.0,95.0,138.0,137.0,180.0,179.0,224.0,225.0
YLR021W,IRC25,12,183623.0,184162.0,1,183023.0,183323.0,183576.0,15.0,165.0,117.0,31.0,32.0,63.0,70.0,106.0,108.0,143.0,151.0,185.0,192.0,226.0,236.0
YLR022C,SDO1,12,184926.0,184174.0,-1,185526.0,185226.0,184927.0,222.0,640.0,99.0,27.0,27.0,57.0,57.0,81.0,81.0,111.0,111.0,143.0,143.0,180.0,180.0
YLR023C,IZH3,12,187129.0,185498.0,-1,187729.0,187429.0,187256.0,12.0,326.0,589.0,37.0,37.0,70.0,79.0,112.0,126.0,158.0,162.0,200.0,210.0,246.0,253.0
YLR025W,SNF7,12,194452.0,195174.0,1,193852.0,194152.0,194369.0,7.0,123.0,133.0,41.0,36.0,73.0,72.0,111.0,106.0,147.0,143.0,183.0,183.0,223.0,218.0
YLR026C,SED5,12,196472.0,195450.0,-1,197072.0,196772.0,196587.0,22.0,96.0,92.0,42.0,32.0,78.0,52.0,104.0,84.0,129.0,127.0,174.0,171.0,217.0,219.0
YLR027C,AAT2,12,198085.0,196829.0,-1,198685.0,198385.0,198113.0,768.0,3417.0,336.0,38.0,42.0,91.0,89.0,124.0,123.0,157.0,156.0,187.0,191.0,223.0,222.0
YLR028C,ADE16,12,201315.0,199540.0,-1,201915.0,201615.0,201468.0,118.0,2012.0,845.0,29.0,34.0,62.0,63.0,93.0,107.0,129.0,147.0,179.0,168.0,201.0,209.0
YLR029C,RPL15A,12,202590.0,201976.0,-1,203190.0,202890.0,202613.0,1011.0,4421.0,385.0,34.0,34.0,66.0,65.0,93.0,92.0,131.0,135.0,171.0,171.0,199.0,197.0
YLR032W,RAD5,12,204991.0,208500.0,1,204391.0,204691.0,204970.0,1.0,8.0,17.0,33.0,34.0,67.0,65.0,97.0,95.0,128.0,129.0,164.0,170.0,203.0,202.0
YLR033W,RSC58,12,208761.0,210269.0,1,208161.0,208461.0,208708.0,39.0,506.0,229.0,35.0,30.0,61.0,58.0,89.0,100.0,129.0,137.0,176.0,189.0,221.0,221.0
YLR034C,SMF3,12,211933.0,210512.0,-1,212533.0,212233.0,212098.0,400.0,1337.0,414.0,32.0,33.0,60.0,79.0,93.0,126.0,140.0,178.0,192.0,215.0,243.0,251.0
YLR035C,MLH2,12,214456.0,212369.0,-1,215056.0,214756.0,214495.0,4.0,21.0,47.0,36.0,36.0,73.0,72.0,109.0,103.0,141.0,137.0,189.0,185.0,227.0,225.0
YLR037C,PAU23,12,223059.0,222685.0,-1,223659.0,223359.0,223246.0,8.0,74.0,86.0,33.0,45.0,70.0,82.0,110.0,121.0,148.0,159.0,184.0,198.0,224.0,237.0
YLR038C,COX12,12,225172.0,224921.0,-1,225772.0,225472.0,225222.0,73.0,945.0,893.0,25.0,28.0,68.0,68.0,99.0,104.0,143.0,142.0,174.0,175.0,208.0,210.0
YLR040C,AFB1,12,229582.0,228908.0,-1,230182.0,229882.0,229667.0,2.0,11.0,13.0,36.0,35.0,66.0,63.0,93.0,90.0,122.0,124.0,159.0,163.0,200.0,208.0
YLR043C,TRX1,12,232013.0,231702.0,-1,232613.0,232313.0,232059.0,135.0,2815.0,632.0,37.0,35.0,66.0,71.0,113.0,105.0,139.0,142.0,178.0,187.0,229.0,231.0
YLR044C,PDC1,12,234081.0,232390.0,-1,234681.0,234381.0,234111.0,13660.0,37256.0,823.0,28.0,32.0,65.0,64.0,100.0,101.0,131.0,130.0,162.0,162.0,206.0,210.0
YLR045C,STU2,12,237703.0,235037.0,-1,238303.0,238003.0,237722.0,5.0,35.0,85.0,31.0,32.0,63.0,63.0,90.0,92.0,125.0,123.0,159.0,162.0,197.0,197.0
YLR047C,FRE8,12,241407.0,239347.0,-1,242007.0,241707.0,241655.0,2.0,5.0,13.0,25.0,29.0,54.0,60.0,89.0,99.0,119.0,159.0,153.0,197.0,204.0,229.0
YLR048W,RPS0B,12,242232.0,243349.0,1,241632.0,241932.0,242190.0,3745.0,21673.0,978.0,31.0,33.0,73.0,89.0,134.0,137.0,169.0,168.0,199.0,204.0,232.0,233.0
YLR051C,FCF2,12,246977.0,246324.0,-1,247577.0,247277.0,246998.0,40.0,163.0,83.0,33.0,34.0,72.0,70.0,112.0,111.0,154.0,156.0,197.0,196.0,236.0,232.0
YLR052W,IES3,12,247201.0,247953.0,1,246601.0,246901.0,247176.0,8.0,171.0,167.0,35.0,38.0,69.0,71.0,110.0,110.0,142.0,142.0,179.0,181.0,219.0,221.0
YLR055C,SPT8,12,253080.0,251272.0,-1,253680.0,253380.0,253138.0,1.0,1.0,5.0,38.0,46.0,77.0,78.0,118.0,136.0,183.0,197.0,236.0,244.0,281.0,282.0
YLR056W,ERG3,12,253861.0,254958.0,1,253261.0,253561.0,253783.0,634.0,2560.0,313.0,30.0,31.0,64.0,76.0,108.0,130.0,169.0,194.0,228.0,233.0,264.0,275.0
YLR057W,MNL2,12,255306.0,257855.0,1,254706.0,255006.0,255252.0,5.0,33.0,42.0,42.0,36.0,71.0,67.0,101.0,98.0,135.0,138.0,178.0,184.0,227.0,227.0
YLR058C,SHM2,12,259401.0,257992.0,-1,260001.0,259701.0,259440.0,849.0,2435.0,441.0,38.0,36.0,69.0,69.0,109.0,100.0,142.0,149.0,186.0,188.0,231.0,235.0
YLR059C,REX2,12,260547.0,259738.0,-1,261147.0,260847.0,260550.0,19.0,110.0,103.0,27.0,29.0,71.0,72.0,112.0,114.0,143.0,144.0,188.0,188.0,233.0,234.0
YLR060W,FRS1,12,260979.0,262766.0,1,260379.0,260679.0,260942.0,68.0,814.0,317.0,36.0,31.0,70.0,74.0,116.0,116.0,146.0,143.0,193.0,194.0,239.0,243.0
YLR061W,RPL22A,12,263194.0,263948.0,1,262594.0,262894.0,263173.0,1851.0,8921.0,540.0,28.0,27.0,67.0,65.0,90.0,91.0,111.0,110.0,147.0,153.0,198.0,202.0
YLR063W,BMT6,12,264157.0,265254.0,1,263557.0,263857.0,264156.0,1.0,1.0,1.0,30.0,31.0,48.0,48.0,87.0,88.0,127.0,128.0,179.0,180.0,211.0,211.0
YLR064W,PER33,12,265456.0,266277.0,1,264856.0,265156.0,265400.0,24.0,177.0,147.0,30.0,30.0,59.0,65.0,97.0,110.0,138.0,152.0,183.0,187.0,217.0,226.0
YLR065C,ENV10,12,266918.0,266373.0,-1,267518.0,267218.0,266950.0,589.0,2805.0,296.0,35.0,33.0,73.0,74.0,119.0,116.0,152.0,144.0,182.0,178.0,214.0,212.0
YLR066W,SPC3,12,267169.0,267723.0,1,266569.0,266869.0,267134.0,20.0,295.0,167.0,44.0,44.0,75.0,75.0,119.0,114.0,158.0,156.0,200.0,190.0,225.0,225.0
YLR067C,PET309,12,270710.0,267813.0,-1,271310.0,271010.0,270782.0,1.0,4.0,10.0,44.0,43.0,77.0,76.0,111.0,112.0,147.0,148.0,188.0,187.0,222.0,220.0
YLR068W,FYV7,12,271008.0,271463.0,1,270408.0,270708.0,270983.0,30.0,178.0,89.0,34.0,32.0,67.0,75.0,110.0,114.0,149.0,154.0,196.0,196.0,235.0,233.0
YLR069C,MEF1,12,273915.0,271630.0,-1,274515.0,274215.0,273934.0,16.0,324.0,217.0,34.0,38.0,58.0,58.0,102.0,103.0,143.0,145.0,186.0,190.0,231.0,235.0
YLR070C,XYL2,12,275211.0,274141.0,-1,275811.0,275511.0,275260.0,0.0,0.0,1.0,28.0,32.0,72.0,73.0,120.0,118.0,161.0,159.0,196.0,193.0,235.0,233.0
YLR071C,RGR1,12,278626.0,275378.0,-1,279226.0,278926.0,278648.0,2.0,9.0,24.0,37.0,36.0,74.0,74.0,122.0,124.0,168.0,167.0,219.0,216.0,265.0,261.0
YLR072W,LAM6,12,278862.0,280943.0,1,278262.0,278562.0,278842.0,378.0,729.0,99.0,34.0,39.0,71.0,74.0,119.0,124.0,175.0,178.0,224.0,226.0,264.0,264.0
YLR073C,RFU1,12,281621.0,281019.0,-1,282221.0,281921.0,281726.0,124.0,842.0,195.0,44.0,26.0,70.0,63.0,104.0,112.0,152.0,163.0,204.0,212.0,253.0,256.0
YLR074C,BUD20,12,282456.0,281956.0,-1,283056.0,282756.0,282478.0,120.0,1520.0,358.0,36.0,37.0,68.0,70.0,98.0,97.0,131.0,134.0,168.0,169.0,212.0,213.0
YLR075W,RPL10,12,282927.0,283592.0,1,282327.0,282627.0,282906.0,2770.0,17245.0,860.0,35.0,35.0,70.0,68.0,100.0,99.0,126.0,132.0,166.0,170.0,208.0,217.0
YLR077W,FMP25,12,283872.0,285623.0,1,283272.0,283572.0,283845.0,38.0,348.0,211.0,46.0,41.0,74.0,63.0,96.0,90.0,139.0,136.0,180.0,178.0,231.0,228.0
YLR078C,BOS1,12,286559.0,285736.0,-1,287159.0,286859.0,286612.0,75.0,598.0,304.0,44.0,44.0,80.0,80.0,127.0,132.0,179.0,177.0,222.0,221.0,262.0,263.0
YLR079W,SIC1,12,286820.0,287674.0,1,286220.0,286520.0,286780.0,44.0,120.0,81.0,38.0,35.0,80.0,78.0,120.0,116.0,154.0,157.0,199.0,192.0,235.0,230.0
YLR080W,EMP46,12,287916.0,289250.0,1,287316.0,287616.0,287898.0,2.0,2.0,4.0,33.0,28.0,57.0,50.0,87.0,85.0,126.0,121.0,169.0,168.0,210.0,206.0
YLR081W,GAL2,12,290212.0,291936.0,1,289612.0,289912.0,290160.0,12.0,49.0,1946.0,22.0,27.0,52.0,59.0,91.0,110.0,145.0,168.0,193.0,207.0,232.0,246.0
YLR082C,SRL2,12,293572.0,292394.0,-1,294172.0,293872.0,293609.0,119.0,361.0,85.0,36.0,37.0,74.0,74.0,109.0,102.0,128.0,131.0,162.0,163.0,202.0,203.0
YLR083C,EMP70,12,296094.0,294091.0,-1,296694.0,296394.0,296258.0,77.0,1134.0,440.0,37.0,31.0,63.0,68.0,97.0,89.0,131.0,124.0,152.0,170.0,193.0,211.0
YLR084C,RAX2,12,300251.0,296589.0,-1,300851.0,300551.0,300302.0,1.0,3.0,4.0,32.0,36.0,68.0,71.0,98.0,99.0,132.0,133.0,171.0,180.0,220.0,232.0
YLR085C,ARP6,12,301989.0,300673.0,-1,302589.0,302289.0,302022.0,19.0,149.0,135.0,35.0,35.0,68.0,72.0,112.0,113.0,157.0,157.0,196.0,200.0,246.0,248.0
YLR086W,SMC4,12,302243.0,306499.0,1,301643.0,301943.0,302187.0,2.0,4.0,7.0,39.0,33.0,69.0,68.0,108.0,110.0,143.0,145.0,181.0,184.0,225.0,224.0
YLR088W,GAA1,12,316107.0,317951.0,1,315507.0,315807.0,316075.0,50.0,407.0,227.0,38.0,38.0,81.0,81.0,119.0,113.0,153.0,154.0,192.0,187.0,228.0,225.0
YLR089C,ALT1,12,320015.0,318237.0,-1,320615.0,320315.0,320319.0,93.0,1629.0,883.0,40.0,36.0,85.0,73.0,130.0,120.0,167.0,162.0,202.0,211.0,251.0,252.0
YLR090W,XDJ1,12,320701.0,322080.0,1,320101.0,320401.0,320612.0,6.0,94.0,121.0,42.0,49.0,93.0,84.0,123.0,121.0,160.0,167.0,210.0,212.0,252.0,251.0
YLR091W,GEP5,12,322297.0,323178.0,1,321697.0,321997.0,322296.0,3.0,13.0,33.0,46.0,46.0,71.0,71.0,116.0,117.0,158.0,158.0,193.0,194.0,243.0,243.0
YLR092W,SUL2,12,323544.0,326225.0,1,322944.0,323244.0,323527.0,0.0,0.0,4.0,35.0,36.0,73.0,75.0,118.0,122.0,167.0,172.0,218.0,223.0,269.0,272.0
YLR093C,NYV1,12,327415.0,326513.0,-1,328015.0,327715.0,327488.0,46.0,459.0,308.0,32.0,35.0,73.0,67.0,102.0,118.0,151.0,165.0,198.0,213.0,247.0,252.0
YLR094C,GIS3,12,329238.0,327730.0,-1,329838.0,329538.0,329272.0,186.0,1259.0,296.0,33.0,39.0,78.0,84.0,123.0,129.0,167.0,165.0,207.0,216.0,258.0,262.0
YLR095C,IOC2,12,332115.0,329677.0,-1,332715.0,332415.0,332144.0,8.0,80.0,62.0,36.0,31.0,77.0,72.0,120.0,123.0,165.0,159.0,197.0,196.0,251.0,251.0
YLR096W,KIN2,12,332590.0,336033.0,1,331990.0,332290.0,332383.0,1.0,1.0,3.0,35.0,42.0,78.0,80.0,121.0,118.0,159.0,169.0,198.0,215.0,246.0,253.0
YLR097C,HRT3,12,337265.0,336231.0,-1,337865.0,337565.0,337346.0,6.0,26.0,27.0,43.0,39.0,79.0,70.0,114.0,105.0,145.0,138.0,178.0,172.0,210.0,199.0
YLR098C,CHA4,12,339473.0,337527.0,-1,340073.0,339773.0,339485.0,53.0,153.0,91.0,40.0,42.0,75.0,69.0,102.0,103.0,149.0,150.0,193.0,192.0,237.0,234.0
YLR099C,ICT1,12,340928.0,339744.0,-1,341528.0,341228.0,341028.0,22.0,74.0,68.0,39.0,37.0,76.0,88.0,127.0,142.0,181.0,198.0,237.0,256.0,295.0,291.0
YLR099W-A,MIM2,12,341325.0,341588.0,1,340725.0,341025.0,341299.0,272.0,1232.0,303.0,53.0,60.0,104.0,107.0,142.0,142.0,180.0,180.0,235.0,235.0,283.0,285.0
YLR100W,ERG27,12,341810.0,342853.0,1,341210.0,341510.0,341783.0,40.0,570.0,216.0,38.0,35.0,77.0,74.0,120.0,123.0,177.0,181.0,227.0,232.0,286.0,290.0
YLR102C,APC9,12,343767.0,342970.0,-1,344367.0,344067.0,343780.0,20.0,63.0,52.0,31.0,35.0,62.0,59.0,95.0,92.0,127.0,130.0,175.0,177.0,215.0,211.0
YLR103C,CDC45,12,345941.0,343989.0,-1,346541.0,346241.0,346011.0,26.0,112.0,82.0,36.0,32.0,67.0,64.0,98.0,101.0,136.0,137.0,174.0,175.0,209.0,215.0
YLR104W,LCL2,12,346585.0,346980.0,1,345985.0,346285.0,346545.0,284.0,819.0,179.0,32.0,37.0,75.0,75.0,117.0,113.0,145.0,145.0,179.0,175.0,210.0,209.0
YLR105C,SEN2,12,348180.0,347047.0,-1,348780.0,348480.0,348247.0,6.0,80.0,94.0,36.0,33.0,69.0,63.0,102.0,94.0,133.0,136.0,173.0,163.0,201.0,195.0
YLR107W,REX3,12,364116.0,365330.0,1,363516.0,363816.0,364113.0,3.0,54.0,102.0,30.0,29.0,61.0,61.0,91.0,90.0,123.0,123.0,162.0,162.0,196.0,197.0
YLR109W,AHP1,12,368781.0,369311.0,1,368181.0,368481.0,368744.0,7383.0,23687.0,506.0,35.0,35.0,68.0,72.0,106.0,108.0,147.0,153.0,195.0,200.0,232.0,235.0
YLR110C,CCW12,12,370098.0,369697.0,-1,370698.0,370398.0,370141.0,46741.0,202086.0,2140.0,28.0,33.0,65.0,71.0,111.0,114.0,150.0,160.0,201.0,212.0,251.0,265.0
YLR113W,HOG1,12,371620.0,372927.0,1,371020.0,371320.0,371446.0,21.0,424.0,386.0,28.0,31.0,56.0,82.0,94.0,123.0,144.0,152.0,178.0,192.0,211.0,248.0
YLR114C,AVL9,12,377238.0,374944.0,-1,377838.0,377538.0,377303.0,7.0,69.0,91.0,36.0,39.0,79.0,84.0,123.0,121.0,153.0,155.0,194.0,192.0,225.0,223.0
YLR115W,CFT2,12,377985.0,380564.0,1,377385.0,377685.0,377961.0,5.0,41.0,43.0,33.0,35.0,64.0,65.0,103.0,103.0,136.0,136.0,174.0,177.0,217.0,221.0
YLR116W,MSL5,12,380822.0,382252.0,1,380222.0,380522.0,380818.0,8.0,42.0,64.0,33.0,33.0,64.0,64.0,100.0,100.0,138.0,137.0,177.0,179.0,224.0,224.0
YLR117C,CLF1,12,384534.0,382471.0,-1,385134.0,384834.0,384534.0,40.0,422.0,166.0,38.0,38.0,67.0,67.0,100.0,100.0,137.0,137.0,179.0,179.0,219.0,219.0
YLR119W,SRN2,12,385534.0,386175.0,1,384934.0,385234.0,385332.0,0.0,0.0,5.0,31.0,44.0,72.0,88.0,115.0,128.0,159.0,169.0,199.0,207.0,241.0,239.0
YLR120C,YPS1,12,388220.0,386511.0,-1,388820.0,388520.0,388333.0,14.0,282.0,307.0,29.0,36.0,66.0,75.0,102.0,129.0,158.0,163.0,194.0,207.0,234.0,258.0
YLR121C,YPS3,12,390270.0,388744.0,-1,390870.0,390570.0,390296.0,132.0,699.0,325.0,28.0,28.0,63.0,64.0,103.0,107.0,153.0,150.0,190.0,196.0,236.0,239.0
YLR127C,APC2,12,398319.0,395758.0,-1,398919.0,398619.0,398392.0,1.0,1.0,10.0,35.0,31.0,66.0,63.0,105.0,102.0,141.0,143.0,183.0,184.0,223.0,225.0
YLR128W,DCN1,12,398530.0,399433.0,1,397930.0,398230.0,398505.0,5.0,60.0,66.0,33.0,29.0,67.0,64.0,101.0,98.0,140.0,139.0,177.0,174.0,203.0,200.0
YLR129W,DIP2,12,399657.0,402488.0,1,399057.0,399357.0,399601.0,27.0,270.0,184.0,36.0,34.0,71.0,69.0,111.0,112.0,154.0,158.0,199.0,193.0,231.0,235.0
YLR130C,ZRT2,12,404062.0,402794.0,-1,404662.0,404362.0,404196.0,6.0,206.0,237.0,42.0,39.0,79.0,75.0,116.0,100.0,148.0,150.0,185.0,199.0,237.0,240.0
YLR131C,ACE2,12,406822.0,404510.0,-1,407422.0,407122.0,407065.0,1.0,10.0,18.0,30.0,39.0,69.0,83.0,106.0,115.0,140.0,155.0,185.0,188.0,219.0,230.0
YLR132C,USB1,12,408155.0,407283.0,-1,408755.0,408455.0,408182.0,6.0,47.0,61.0,39.0,40.0,85.0,79.0,114.0,113.0,163.0,160.0,207.0,207.0,252.0,249.0
YLR133W,CKI1,12,408445.0,410193.0,1,407845.0,408145.0,408421.0,6.0,96.0,142.0,28.0,30.0,73.0,71.0,113.0,114.0,155.0,157.0,195.0,197.0,234.0,232.0
YLR134W,PDC5,12,410723.0,412414.0,1,410123.0,410423.0,410680.0,18.0,43.0,29.0,28.0,33.0,65.0,65.0,95.0,100.0,135.0,143.0,167.0,169.0,203.0,214.0
YLR135W,SLX4,12,413281.0,415527.0,1,412681.0,412981.0,413217.0,3.0,13.0,23.0,32.0,33.0,60.0,61.0,96.0,99.0,128.0,124.0,153.0,153.0,186.0,179.0
YLR136C,TIS11,12,416658.0,415801.0,-1,417258.0,416958.0,416666.0,3.0,10.0,67.0,43.0,42.0,83.0,84.0,133.0,134.0,180.0,182.0,234.0,236.0,277.0,278.0
YLR137W,RKM5,12,417006.0,418109.0,1,416406.0,416706.0,416999.0,8.0,37.0,34.0,51.0,52.0,101.0,100.0,141.0,140.0,177.0,177.0,215.0,214.0,255.0,255.0
YLR138W,NHA1,12,418437.0,421394.0,1,417837.0,418137.0,418232.0,2.0,22.0,28.0,27.0,41.0,66.0,74.0,110.0,119.0,143.0,161.0,186.0,206.0,227.0,259.0
YLR139C,SLS1,12,423473.0,421542.0,-1,424073.0,423773.0,423495.0,13.0,81.0,63.0,26.0,28.0,68.0,73.0,121.0,123.0,169.0,171.0,220.0,220.0,277.0,282.0
YLR141W,RRN5,12,423683.0,424774.0,1,423083.0,423383.0,423650.0,29.0,205.0,107.0,44.0,31.0,69.0,61.0,115.0,111.0,162.0,157.0,206.0,207.0,258.0,256.0
YLR142W,PUT1,12,425186.0,426616.0,1,424586.0,424886.0,425156.0,1.0,3.0,67.0,38.0,39.0,76.0,78.0,119.0,119.0,159.0,159.0,202.0,203.0,244.0,246.0
YLR143W,DPH6,12,427329.0,429386.0,1,426729.0,427029.0,427318.0,19.0,232.0,160.0,31.0,29.0,76.0,77.0,111.0,113.0,149.0,150.0,191.0,190.0,220.0,218.0
YLR144C,ACF2,12,432016.0,429677.0,-1,432616.0,432316.0,432029.0,3.0,62.0,83.0,23.0,23.0,56.0,55.0,91.0,93.0,131.0,134.0,176.0,177.0,211.0,212.0
YLR145W,RMP1,12,432168.0,432773.0,1,431568.0,431868.0,432159.0,4.0,45.0,50.0,25.0,26.0,58.0,62.0,107.0,112.0,153.0,154.0,195.0,196.0,232.0,232.0
YLR146C,SPE4,12,433725.0,432823.0,-1,434325.0,434025.0,433767.0,13.0,188.0,116.0,31.0,30.0,73.0,73.0,109.0,110.0,136.0,139.0,176.0,175.0,219.0,220.0
YLR147C,SMD3,12,434463.0,434158.0,-1,435063.0,434763.0,434494.0,88.0,380.0,128.0,33.0,29.0,64.0,61.0,101.0,98.0,139.0,135.0,178.0,176.0,221.0,218.0
YLR148W,PEP3,12,434641.0,437397.0,1,434041.0,434341.0,434603.0,2.0,9.0,20.0,29.0,27.0,65.0,67.0,106.0,114.0,150.0,150.0,188.0,192.0,215.0,218.0
YLR150W,STM1,12,440467.0,441288.0,1,439867.0,440167.0,440441.0,1059.0,9177.0,1213.0,31.0,30.0,65.0,64.0,94.0,99.0,132.0,135.0,175.0,181.0,210.0,211.0
YLR151C,PCD1,12,442737.0,441715.0,-1,443337.0,443037.0,442738.0,18.0,96.0,107.0,36.0,37.0,63.0,64.0,99.0,99.0,142.0,142.0,177.0,177.0,217.0,218.0
YLR153C,ACS2,12,447575.0,445524.0,-1,448175.0,447875.0,447606.0,291.0,2368.0,612.0,29.0,30.0,64.0,66.0,102.0,113.0,141.0,144.0,180.0,187.0,227.0,233.0
YLR154C,RNH203,12,448314.0,447982.0,-1,448914.0,448614.0,448397.0,16.0,224.0,157.0,39.0,41.0,78.0,79.0,113.0,123.0,160.0,158.0,196.0,192.0,228.0,225.0
YLR163C,MAS1,12,493254.0,491866.0,-1,493854.0,493554.0,493282.0,18.0,297.0,247.0,36.0,36.0,74.0,72.0,108.0,106.0,154.0,151.0,193.0,190.0,229.0,230.0
YLR164W,SHH4,12,493883.0,494389.0,1,493283.0,493583.0,493564.0,1.0,11.0,23.0,40.0,37.0,79.0,72.0,123.0,111.0,157.0,149.0,194.0,194.0,230.0,231.0
YLR165C,PUS5,12,495258.0,494494.0,-1,495858.0,495558.0,495266.0,6.0,20.0,23.0,31.0,34.0,61.0,63.0,97.0,100.0,135.0,137.0,174.0,175.0,204.0,207.0
YLR166C,SEC10,12,498044.0,495429.0,-1,498644.0,498344.0,498080.0,9.0,70.0,73.0,33.0,27.0,62.0,63.0,97.0,104.0,136.0,130.0,169.0,165.0,204.0,204.0
YLR167W,RPS31,12,498947.0,499405.0,1,498347.0,498647.0,498890.0,6756.0,15076.0,759.0,31.0,25.0,63.0,60.0,97.0,102.0,133.0,131.0,166.0,160.0,204.0,203.0
YLR168C,UPS2,12,500270.0,499578.0,-1,500870.0,500570.0,500295.0,9.0,50.0,88.0,27.0,27.0,61.0,70.0,107.0,111.0,155.0,161.0,192.0,195.0,232.0,235.0
YLR170C,APS1,12,501049.0,500579.0,-1,501649.0,501349.0,501096.0,60.0,538.0,301.0,37.0,39.0,76.0,80.0,125.0,126.0,172.0,174.0,218.0,211.0,255.0,250.0
YLR172C,DPH5,12,502162.0,501260.0,-1,502762.0,502462.0,502190.0,121.0,2551.0,544.0,32.0,33.0,71.0,71.0,110.0,113.0,150.0,150.0,190.0,190.0,228.0,229.0
YLR174W,IDP2,12,504591.0,505829.0,1,503991.0,504291.0,504304.0,3.0,24.0,47.0,39.0,48.0,78.0,94.0,120.0,137.0,172.0,181.0,213.0,229.0,256.0,268.0
YLR175W,CBF5,12,506134.0,507585.0,1,505534.0,505834.0,506105.0,849.0,3734.0,453.0,29.0,24.0,54.0,51.0,80.0,80.0,123.0,123.0,165.0,160.0,203.0,206.0
YLR176C,RFX1,12,510232.0,507797.0,-1,510832.0,510532.0,510738.0,1.0,1.0,2.0,35.0,44.0,83.0,107.0,133.0,147.0,179.0,187.0,231.0,236.0,274.0,287.0
